Query: 浙江大学紫金港校区海洋大楼南侧浙江大学建筑工程学院A楼(南大门), Truth: 紫金港路隧道东200米浙江大学建筑工程学院A楼(南门), Distance: 19123
Query: 众合高架与复兴立交桥交叉口东北货场东北门, Truth: 中河高架与复兴立交桥交叉口东北150米南星桥站货场(东北门), Distance: 822
Query: 明月桥路以西德信浙旅售楼处, Truth: 彭埠街道月桥路德信浙旅·东宸售楼处, Distance: 510
Query: 4号大街与9号大街交叉口西侧盛泰北(2门), Truth: 4号大街189盛泰·时代山(北2门), Distance: 664
Query: 文三西路265号香港城2停车处, Truth: 文三西路265号香港城停车场, Distance: 323
Query: 白洋路南面金家渡32号楼, Truth: 金家渡北苑32号楼(徐家门路东)金家渡北苑东区32号楼, Distance: 53629
Query: 之江路西北面美正花苑32幢, Truth: 美政路7号美政花苑32幢美政花苑32号楼, Distance: 3279
Query: 天目山路北天目山路西湖数源软件园(南门), Truth: 天目山路170号西湖数源软件园(南门), Distance: 864
Query: 地铁1号线西侧停车场（南, Truth: 中山北路525号附近停车场(地铁商务大厦西南), Distance: 96
Query: 跑马场巷与杭大路交叉口东北方向西区分局治安管理西门), Truth: 杭大路28号杭州市公安局西湖区分局治安管理大队(西门), Distance: 732
Query: 邮电路和城隍庙路交叉口往东农商行, Truth: 城隍庙路36号萧山农商银行(同二分理处), Distance: 201
Query: 红垦路305号南门口, Truth: 红垦路305号杭萧钢构(南门), Distance: 780
Query: 杭州丰潭中学西南侧飞劲游泳馆, Truth: 天目山路396(山水人家)杭州飞劲体育彩云天游泳馆, Distance: 223
Query: 萝婆寺附近文源广场5号楼, Truth: 萧山区金帝文源广场5幢, Distance: 518
Query: 新风路到天庐弄交叉口以北天禄小区-6, Truth: 新风路390号天庐苑小区6号楼, Distance: 367
Query: 21大街以西杭州电缆股份(21号大街分公司), Truth: 下沙经济技术开发区6号大街21号杭州电缆股份有限公司(21号大街), Distance: 823
Query: 五星路与市民街交叉路口西北170米大楼1幢西南门, Truth: 市民街中华钱塘航空大厦1幢(西南门), Distance: 828
Query: 双龙街与蒋墩路交叉口旁边绿城西溪世纪中心11号楼, Truth: 余杭塘路与蒋墩路交叉口绿城西溪世纪中心11幢绿城西溪世纪中心11幢, Distance: 258
Query: 创明路与联创街交叉路口西北方向往西沿联创街直行70米右转20米的星巴克(奥克斯商业广场店早餐套餐15元起), Truth: 向往街与创景路交叉口时代未来之城1幢102至113室1F-014单元星巴克(奥克斯商业广场店早餐套餐15元起), Distance: 428
Query: 望潮路东北边住院楼杭州市妇产科医院内, Truth: 鲲鹏路369号杭州市妇产科医院内住院楼, Distance: 678
Query: 思敬广场西北方向水乡人家小区5号楼, Truth: 圣堂漾路与致和堂街交叉路口往西北约100米水乡人家小区5幢, Distance: 17380
Query: 中栋国际银座1号楼国际超市怪兽充电, Truth: 中栋国际银座1号楼怪兽充电(中栋国际超市), Distance: 9579
Query: 凯地幼儿园北方北城铭苑西南门, Truth: 丁群街805北城铭苑(西南门), Distance: 402
Query: 笕丁路与丁兰路交叉路口东北方向玺之湾13号楼, Truth: 笕丁路与华丰路交叉口玺之湾玺之湾13幢, Distance: 979
Query: 玉华便利店附近团子巷小区(北大), Truth: 祖庙巷团子巷小区(东门), Distance: 981
Query: 青年林附近和达园林公司(口北东, Truth: 20号大街和凌浩路的交叉口附近杭州和达市政园林建设有限公司(东北门), Distance: 831
Query: 学苑春晓农贸市场附近草帽过桥米线小吃(农贸市场店), Truth: 翠苑街道学院路229号学苑春晓农贸市场2F营06草帽小子过桥米线(学苑春晓农贸市场店), Distance: 5200
Query: 义府大街343号燃气营业厅, Truth: 钱塘新区义府大街329号义蓬第一初级中学对面中国燃气(义蓬营业厅), Distance: 34016
Query: 丁群街与蕙兰雅路交叉口东南方向丁乔景园34号楼, Truth: 丁桥杭州市丁兰幼儿园西(环丁路北)丁桥景园34号楼, Distance: 411
Query: 新南路与幸福北路交叉口的第二个红绿灯便民服务点, Truth: 围垦街与幸福北路交叉口西南200米百江燃气智格便民服务点, Distance: 993
Query: 迎春南路东北方向梧桐府西区, Truth: 迎春南路512号附近梧桐公寓-西区, Distance: 47964
Query: 云涛南路东侧中国政府管制研究所, Truth: 白杨街道浙江财经大学-4号学院楼中国政府管制研究院, Distance: 895
Query: 塘宁路到北沙西路交叉路口东方向杭州市公安局余杭区分局交通警察大队开发区中队东南门, Truth: 北沙西路8杭州市公安局余杭区分局交通警察大队开发区中队(东南门), Distance: 192
Query: 农东路东南方向兽王产业区东南门, Truth: 钱鸿线兽王电商产业园(东南门), Distance: 9159
Query: 大关路与和睦路交叉路口南偏西210董米家弄小区33-1幢, Truth: 拱墅区董家弄小区33-1号楼, Distance: 938
Query: 西悦生活广场正在装修中的附近怪兽充电麟云跆拳道西链馆, Truth: 东新路655号西联广场3楼麟云跆拳道(西联广场店), Distance: 981
Query: 文一西路和良睦路交叉口往东北走60米就是中国智谷衢州海创园D座, Truth: 文一西路1001号中国智谷衢州海创园中国智谷衢州海创园D座, Distance: 61063
Query: 周坪路与来仁街交叉口往西北行140米的阳光·华苑地下停车场(出入口), Truth: 周坪路101号附近都市阳光·华苑停车场(出入口), Distance: 872
Query: 洙泗路399号中国农行杭州上泗支行, Truth: 洙泗路399号中国农业银行(杭州上泗支行), Distance: 1823
Query: 仓前街道仓溢绿苑西门5-24超市, Truth: 海曙路仓溢绿苑绿汀路5-23号味来家生鲜(仓溢绿苑店), Distance: 35343
Query: 南环路西南方向杭州龙禧福朋喜来登宜客乐外国餐厅, Truth: 东信大道868号杭州龙禧福朋喜来登酒店2楼杭州龙禧福朋喜来登宜客乐西餐厅, Distance: 7891
Query: 普福家园西边中国电信, Truth: 彭埠镇普德路28号中国电信(普福店), Distance: 1123
Query: 悦雅除虫灭鼠灭蟑螂(逸天广场店旁边逸天广场(北门口, Truth: 东信大道290号逸天广场1号(北门), Distance: 847
Query: 蕙兰雅路南段北城铭苑10栋, Truth: 华丰中路与蕙兰雅路交叉路口往西南约100米北城铭苑10幢北城铭苑10幢, Distance: 804
Query: 中河北路西侧新闻大厦-老大楼, Truth: 体育场路218号杭州新闻大厦-老大楼, Distance: 914
Query: 越达巷北创业智慧(东南门), Truth: 越达巷北50米创业智慧大厦(东南门), Distance: 865
Query: 지奥强工业园区旁边西港新界西区7B座, Truth: 西园五路与西园四路交叉路口往西南约50米西港发展中心西区7B座, Distance: 45
Query: 古墩路与铭金巷交叉口西面公交公司电车, Truth: 古墩路(金地广场西北侧)杭州市公共交通集团有限公司电车分公司, Distance: 13252
Query: 湖州街西侧荣华里园区（东北2门）, Truth: 湖州街141号附近荣华里(东北2门), Distance: 363
Query: 梧桐公寓南区西北边梧桐府西区, Truth: 迎春南路512号附近梧桐公寓-西区, Distance: 745
